rule_id,stage,applicable_date_range,target_symbol,if_condition,then_action,shares,price_basis,earliest_execution_ts,estimated_cost_cny,estimated_net_cash_cny,post_trade_shares,post_trade_weight_range_pct,post_trade_risk_contrib_assessment,invalidation,review_trigger,constraint_dependencies,evidence_ids
R11,DIV_PAY_2026-09-30,2026-09-30,ACCOUNT_CASH + SYN100.SZ,as_of_date=2026-09-30 AND 9/30 分红支付日 AND 登记日 (9/23) 实际持仓 × 0.10 CNY 现金到账,"若登记日 9/23 收盘持仓 = 18,500 股 (R05 之后), 则 9/30 收到 18,500 × 0.10 = 1,850 元现金. 同时, 若权重仍 > 35%, 继续市价卖出 1,500 股, 持仓降至 11,000 股, 权重 ≈ 29.59%.",1500,21.55 (假设未除息后实际开盘),2026-09-30 09:30:00 Asia/Shanghai,73.05,32251.95,11000,29.59-29.66,≈68% (风险贡献仍可能超 60%),跌停: R12; 停牌复牌: R13,9/30 15:30 现金到账 + 收盘持仓,"PAR-007 (300,000目标); EV-SRC-009; CA-003",EV-009; CA-003; PAR-007
R12,STALLED_LIMIT_DOWN,Any trading day 2026-09-21 to 2026-10-09,SYN100.SZ,收盘跌停 (limit_down=19.17) AND 当日 bid1/ask1 报价缺位 或 卖单量 > 买盘 5档深度 AND RULE-06 触发,"NO_EXECUTION. 当日不卖出任何份额. 不得将委托数量计为现金. 9/30 累计目标 16,500 股须在 9 个交易日完成, 改由 (10/8 - 10/9) 集中执行 8,000 股 (4,000/日).",0,n/a (no_execution),n/a,0.0,0.0,24000,n/a,n/a,"若当日的理论跌停价 19.17 未实际触发 / 第二天 09:30 出现正常买盘, 回到 R03-R11 顺序",9:30 集合竞价 + 09:35 第一次5档行情,RULE-06; PAR-009; SCN-DOWN 跌停后跳空,RULE-06; SCN-003; PAR-009
R13,HALT_RESUME,SUSPENSION days + REOPEN,SYN100.SZ,trade_status='SUSPENDED' 持续 ≥ 1 个交易日 (情景 SCN-HALT 显示 3 个交易日),"NO_EXECUTION_DURING_HALT. 复牌当日不得按理论价格卖出 (9/21 不得按 18.97 元假设成交). 复牌当日按 09:25 集合竞价实际价格决定首笔卖出动作. 若复牌后权重仍超 35%, 连续三日内累计减仓 ≥ 6,000 股.",0,"REOPEN_PRICE (实际集合竞价价, 不得用历史快照外推)",复牌当日 09:30:00 Asia/Shanghai,0.0,0.0,24000,depends_on_reopen_price,depends_on_reopen_price,复牌日跌停无买盘 → R12 (跌停规则) 优先,停牌公告 + 复牌公告实时监测,RULE-07; SCN-004,RULE-07; SCN-004
R14,SOFT_FLOOR_BREACH,Any trading day 2026-09-21 to 2026-09-23 (before ex-div) / 2026-09-24 onwards adjusted by -0.10,SYN100.SZ,市场价格 < 20.80 (9/24 后 < 20.70) AND 当前权重仍 > 35%,"硬风险预算优先: 减仓动作不能因软底线 20.80 而豁免. 启动分批减仓, 单日不超过 9,000 股 (5% ADV). 减仓价可低于 20.80 元, 同时向客户说明: 软偏好被硬约束覆盖, 需在内部研究报告和客户对话中明确. 除息后软底线从 20.70 重新评估.",1000-2500 per day (依价位),市价 / 跌停价 (取决于当时流动性),次一交易日 09:30:00,Variability by price,Variability by price,Variability,目标 < 35%,Variability,跌停无买盘: R12; 停牌: R13,每日盘前,PAR-004 (硬约束覆盖 PAR-013 软偏好); DQ-008 (medium severity),PAR-013; DQ-008; SCN-DOWN
R15,FINAL_PUSH_2026-10-08,2026-10-08,SYN100.SZ,"as_of_date=2026-10-08 AND 截至 9/30 后 持仓 >= 11,000 股 AND 风险贡献/压力损失尚未完全达标","市价卖出 1,000 股, 持仓降至 10,000 股, 权重 ≈ 26.84%. 同时检查 300,000元低风险目标达成情况; 若已结算现金 + 可赎回 ≤ 300,000, 必须与客户讨论赎回 SYNBOND 或继续减仓.",1000,21.55 (research baseline; 实际以收市观察为准),2026-10-08 09:30:00 Asia/Shanghai,48.7,21501.3,10000,26.84-26.92,≈58% (临界),跌停无买盘: R12; 停牌: R13,"10/8 收盘后, 最终核对硬约束状态",PAR-004/005/006/007/008,PAR-004..008; EV-SRC-010
R16,DEADLINE_2026-10-09,2026-10-09,SYN100.SZ + 其他资产,as_of_date=2026-10-09 (PAR-014 截止日) AND 全部硬约束状态需要最终复盘,"市价卖出 ≤ 1,000 股以闭环; 同时若 (a) 已结算现金 + 低风险资产 < 300,000, 启动 SYNBOND 赎回评估 (需客户书面授权, 制度范围外资产不豁免); (b) 风险贡献仍超 60%, 需追加减仓或书面升级客户 + 暂停策略. 客户软偏好 '保留 ≥12,000 股' 已被覆盖, 必须在终稿的客户沟通报告中说明.",1000,21.55,2026-10-09 09:30:00 Asia/Shanghai,48.7,21501.3,≤9000,目标 ≤ 28%,目标 ≤ 60%,"重大事件 (停牌/极端波动) 导致不能成交 → 视为条件未成立, 重新评估",10/9 15:30 终评; 后续需提交客户正式沟通报告,全部 PAR-001..015,PAR-001..015; EV-SRC-010
R17,T_DAY_DECISION,Any single trading day 2026-09-21 to 2026-10-09,SYN100.SZ,"可卖底仓 >= 1,000 股 AND 当日不存在跌停无买盘 AND 不存在停牌 AND 价差 = (卖价 - 回补价) ≥ 单股最小价差 (= 0.1513元/股, 含双边佣金+过户+印花税+双边滑点+0.30% 缓冲) AND 单日往返 ≤ 2,000 股 AND 当日 5% ADV 不超过","执行做T 一次: 先卖 N 股 (N ≤ 最小(2,000, 日ADV上限-已用)), 再同日回补等量 N 股. 净改善 = (卖-回补)*N - 双边费用. 日终持股 ≥ 日初持股 - 0 (因N卖N补后持平). 仅用于降低平均成本, 不得用于替代 PAR-004/006 所需的净减仓.",2000,MKT-OFFICIAL recent print + 0.0015 滑点,T+0 09:35:00 - 14:55:00 Asia/Shanghai,卖+买双边合计 ≈ 净现金 0 元 (理想情况下),"(卖-回补)×N - 双边费用, 当 N=1000 且价差=0.20元时 净改善 ≈ +150 元","日内平衡, 日终持股 = 日初",日内峰值不变; 日终不变,不变 (T 是日内闭环),"若先卖后价格下跌无法按回补价成交 → 视为 T 失败; 不追加买入, 改执行 R03 等净减仓规则",每个交易日 14:00 评估是否启动 T,PAR-010/011; RULE-01; BUF-01,PAR-010/011; RULE-01; BUF-01; FEE-SRC-01/02/03
R18,T_FAIL_SWITCH,Any trading day,SYN100.SZ,"已执行 T_SELL 但 T_BUY 未能在价位满足 R17 的最小价差, 且价格上行 ≥ 0.5% 当日幅度, 使得日终回补超出费用缓冲","T 失败. 当日不得补回超出部分 (买回将亏损); 改为 R03-R11 的当日净减仓动作 (即不补回已卖出的 N 股). 净减仓 + N 股. 在客户对话中标记: 此为 T 失败情景, 不是 '追加买入' 的理由.",variability (T amount),market order on next trading day,次一交易日 09:30:00,0,T_SELL 净现金已被锁定; 无回补无补充,日初 - N (T 卖出未回补),下降 (对应净减仓),下降 (对应净减仓),T_BUY 在同日14:55前成功执行 → R17 自动结束,每个交易日 14:30 检查 T 进度,PAR-004/006 (硬约束); PAR-010/011 (T 限制); DQ-007 (技术偏强不豁免硬约束),PAR-004/006/010/011; DQ-007
R19,STRATEGY_LUMPSUM_PLAN,2026-09-21 to 2026-09-22,SYN100.SZ,"客户授权一次减仓 ≥ 12,000 股 AND 9/21 LOT-03 解冻 AND 5% ADV 上限 (9,000股/日) AND 客户明示愿意放弃 12,000 软偏好","一次性减仓 (lumpsum) 计划: 9/21 卖 9,000股 + 9/22 卖 3,000股 = 累计 12,000股. 净现金 ≈ 258,015.54 元, 持仓降至 12,000 股 (软偏好), 但权重仍为 33.63% (超 35%以下 1.37%, 临界). 风险贡献仍可能超 60%, 须追加评估.",12000,21.55,2026-09-21 09:30 + 2026-09-22 09:30,587.46,258015.54,12000,32.27-33.71,≈72-76% (估),跌停无买盘导致部分未成交 → 重排剩余到 9/23-9/29,9/22 收盘,PAR-009; PAR-012; RULE-03; DQ-007,PAR-009/012; RULE-03; DQ-007
R20,EXIT_PLAN,By 2026-10-09,SYN100.SZ,客户书面授权全部退出 AND 10 个交易日内可执行 AND 减仓后风险预算达成,"至 10/9 全部清仓 SYN100.SZ (须分批 ≤ 9,000股/日); 累计减仓 24,000 股, 净现金 ≈ 515,872.16 元; 组合中只剩 ETF/BOND/现金/应收; 仅作为客户书面授权的备选方案. 不在客户原始对话内, 但作为研究文档备选项.",24000,21.55,2026-09-21 to 2026-10-09,1174.92,515872.16,0,0,0,跌停无买盘 → R12; 客户未授权书面 → 不可执行,客户书面授权必要,客户授权; 不可独立触发,PAR-014; 客户书面授权
R21,RISK_REPORT,All 10 trading days,PORTFOLIO,每日复盘时 AND 持仓变化导致 Σw 矩阵重算,"重新计算组合年化波动率, 证券M边际风险贡献, 风险贡献占比 (公式 w·MCR). 矩阵已通过对称/对角/范围校验. 风险贡献超 60% 时, 触发 R22 (硬约束升级).",0,n/a,每日收盘后 15:30 Asia/Shanghai,0.0,0.0,n/a,n/a,持续监测,n/a,每次减仓或价格变化 ≥ 1 元/股 触发重算,PAR-006; CORR-001..004,PAR-006; RISK-001..004; CORR-001..004
R22,RISK_HARD_BREACH,Any trading day,SYN100.SZ,证券M 风险贡献 > 60% 组合方差 AND 当日非跌停无买盘日 AND 非停牌日,"立即追加减仓 ≥ 2,000 股; 客户沟通中明确该动作不取决于客户偏好. 当日交易优先于 T 计划; 同时停止当日 T 计划以避免双线执行.",2000,"市价, 不受 20.80/20.70 软底线约束",当日 09:30 - 14:30 Asia/Shanghai,≈ 97.41 (base price 21.55),"≈ 43,002.59 (base price)","当前 - 2,000",下降,目标 ≤ 60%,跌停无买盘: R12; 停牌: R13,每次风险贡献重算后,PAR-006 硬约束,PAR-006
